,company_name,job_title,experience,salary,location,desc,skills
2714,GlaxoSmithKline Pharmaceuticals Limited,Global Medical Data Scientist,5-7 Yrs,Not disclosed,"Bengaluru, India"," medical voice of customer feedback, customer listening, feedback from surveys and resea...","Data Science ,NLP ,Text Analytics ,Artificial Intelligence ,Natural Language Processing ,Advanced Analytics ,Jupyter ,Machine Learning ,"
2715,Mobiotics IT Solution Pvt Ltd,Data Scientist,2-5 Yrs,"5,00,000 - 10,00,000 PA.",Bengaluru(HSR Layout), 5 Years of solid experience in data analytics and MLDegree in Data Science preferred wi...,"Big Data Analytics ,ELK ,Postgresql ,Cassandra ,Kafka ,Jupyter Notebook ,Machine Learning ,Numpy ,"
2716,Lentra AI Private Limited ,Data Scientist,3-5 Yrs,Not disclosed,Pune, Lentra relies on rich insightful data to power our credit risk models and scorecards. C...,"Java ,Lstm ,Artificial Intelligence ,Neural Networks ,Node.Js ,Clustering ,Machine Learning ,Deep Learning ,"
2717,krtrimaIQ AI Solutions,Sr Data Scientist,5-8 Yrs,Not disclosed,Bengaluru, Interface with the customers to understand the problem and provide required solutions C...,"IT Skills ,Machine Learning ,Computer science ,Computer vision ,deep learning ,Data analysis ,Neural networks ,Machine learning ,"
2718,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
2719,Abzooba India Infotech Private Limited,Opening For Data Scientist Role !! PUNE!!,3-6 Yrs,Not disclosed,Pune(Baner)," Hands-on experience with machine learning and deep learning algorithms such as SVM, kNN...","Operational Excellence ,Pyspark ,CNN ,Natural Language Processing ,Tenserflow ,Neural Networks ,Architectural Design ,KNN ,"
2720,CAIA-Center For Artificial Intelligence & Advanced Analytics,Immediate opening For Data Scientist/Data Analyst,0-3 Yrs,"3,50,000 - 4,50,000 PA.","Chennai, Pune, Bengaluru, Hyderabad", In case you are trying to shift your career to Analytics and / or AI domain please do c...,"Business Intelligence ,Artificial Intelligence ,Natural Language Processing ,Neural Networks ,Data Mining ,Machine Learning ,Deep Learning ,SQL ,"
2721,A Big Digital Group,NLP Engineer/ Data Scientist/ Data science,5-7 Yrs,"12,00,000 - 22,00,000 PA.",Mumbai, 5+ years of overall experience with minimum 1 year in the field of Natural Language Pro...,"Natural Language Processing ,Machine Learning ,Deep Learning ,Data Science ,NLP ,Algorithms ,Data Structures ,Classification ,"
2722,bebo Technologies Pvt. Ltd.,Senior Software Engineer- Data Scientist- Chandigarh,5-10 Yrs,Not disclosed,Chandigarh, 5 years of experience in Machine learning/ Data Science/ NLP and delivering scalable co...,"deep learning ,algorithms ,panda ,python ,nlp ,natural language processing ,data science ,Artificial Intelligence ,"
2723,Shell India Markets Private Limited,AI Resident - Data Scientist - NLP,3-5 Yrs,Not disclosed,Bengaluru," Preferably expertise Deep Learning, Bayesian Learning Experience of developing advanced...","Data Science ,Bayesian Learning ,R ,NLP ,Artificial Intelligence ,Natural Language Processing ,Machine Learning ,MATLAB ,"
